"id","group","value"
"P1","ctrl",4.17
"P2","ctrl",5.58
"P3","ctrl",5.18
"P4","ctrl",6.11
"P5","ctrl",4.5
"P6","ctrl",4.61
"P7","ctrl",5.17
"P8","ctrl",4.53
"P9","ctrl",5.33
"P10","ctrl",5.14
"P11","trt1",4.81
"P12","trt1",4.17
"P13","trt1",4.41
"P14","trt1",3.59
"P15","trt1",5.87
"P16","trt1",3.83
"P17","trt1",6.03
"P18","trt1",4.89
"P19","trt1",4.32
"P20","trt1",4.69
"P21","trt2",6.31
"P22","trt2",5.12
"P23","trt2",5.54
"P24","trt2",5.5
"P25","trt2",5.37
"P26","trt2",5.29
"P27","trt2",4.92
"P28","trt2",6.15
"P29","trt2",5.8
"P30","trt2",5.26
