x,y
0.00000000,0.00000000
0.15707963,0.15643447
0.31415927,0.30901699
0.47123890,0.45399050
0.62831853,0.58778525
0.78539816,0.70710678
0.94247780,0.80901699
1.09955743,0.89100652
1.25663706,0.95105652
1.41371669,0.98768834
1.57079633,1.00000000
1.72787596,0.98768834
1.88495559,0.95105652
2.04203522,0.89100652
2.19911486,0.80901699
2.35619449,0.70710678
2.51327412,0.58778525
2.67035376,0.45399050
2.82743339,0.30901699
2.98451302,0.15643447
3.14159265,0.00000000
3.29867228,-0.15643447
3.45575192,-0.30901699
3.61283155,-0.45399050
3.76991118,-0.58778525
3.92699082,-0.70710678
4.08407045,-0.80901699
4.24115008,-0.89100652
4.39822972,-0.95105652
4.55530935,-0.98768834
4.71238898,-1.00000000
4.86946861,-0.98768834
5.02654825,-0.95105652
5.18362788,-0.89100652
5.34070751,-0.80901699
5.49778714,-0.70710678
5.65486678,-0.58778525
5.81194641,-0.45399050
5.96902604,-0.30901699
6.12610567,-0.15643447
6.28318531,0.00000000
