x,y
0.000000,0.00000000
0.114767,0.11451478
0.194936,0.19370413
0.375123,0.36638724
0.439611,0.42558707
0.596787,0.56198771
0.719925,0.65932808
0.781525,0.70436240
0.933012,0.80341677
0.990511,0.83630613
1.127240,0.90323113
1.191211,0.92881837
1.259354,0.95189247
1.394257,0.98445744
1.609628,0.99924615
1.684388,0.99355537
1.779036,0.97839634
1.954523,0.92727600
2.194064,0.81197519
2.359485,0.70477616
2.488821,0.60739041
2.734072,0.39633406
2.793389,0.34121007
3.015082,0.12617304
3.123004,0.01858730
3.201855,-0.06022618
3.275414,-0.13342204
3.387110,-0.24305830
3.600335,-0.44282118
3.686481,-0.51832232
3.852801,-0.65274943
4.030583,-0.77643611
4.155063,-0.84867243
4.314612,-0.92192432
4.377170,-0.94433816
4.439090,-0.96288566
4.530282,-0.98346422
4.716362,-0.99999211
4.851880,-0.99028689
4.964709,-0.96833572
5.131822,-0.91332006
5.272459,-0.84721808
5.382412,-0.78380731
5.591288,-0.63799933
5.781087,-0.48126602
5.879906,-0.39243652
6.044791,-0.23614272
6.199830,-0.08325859
