subgroup,value
sg01,49.3
sg01,49.7
sg01,50.0
sg01,50.4
sg01,50.6
sg02,49.2
sg02,49.6
sg02,49.9
sg02,50.3
sg02,50.5
sg03,49.1
sg03,49.5
sg03,49.8
sg03,50.2
sg03,50.4
sg04,49.7
sg04,50.1
sg04,50.4
sg04,50.8
sg04,51.0
sg05,49.1
sg05,49.5
sg05,49.8
sg05,50.2
sg05,50.4
sg06,49.8
sg06,50.2
sg06,50.5
sg06,50.9
sg06,51.1
sg07,49.3
sg07,49.7
sg07,50.0
sg07,50.4
sg07,50.6
sg08,49.2
sg08,49.6
sg08,49.9
sg08,50.3
sg08,50.5
sg09,50.1
sg09,50.5
sg09,50.8
sg09,51.2
sg09,51.4
sg10,49.5
sg10,49.9
sg10,50.2
sg10,50.6
sg10,50.8
sg11,49.2
sg11,49.6
sg11,49.9
sg11,50.3
sg11,50.5
sg12,49.7
sg12,50.1
sg12,50.4
sg12,50.8
sg12,51.0
sg13,49.2
sg13,49.6
sg13,49.9
sg13,50.3
sg13,50.5
sg14,49.6
sg14,50.0
sg14,50.3
sg14,50.7
sg14,50.9
sg15,50.0
sg15,50.4
sg15,50.7
sg15,51.1
sg15,51.3
sg16,49.1
sg16,49.5
sg16,49.8
sg16,50.2
sg16,50.4
sg17,49.6
sg17,50.0
sg17,50.3
sg17,50.7
sg17,50.9
sg18,49.3
sg18,49.7
sg18,50.0
sg18,50.4
sg18,50.6
sg19,49.9
sg19,50.3
sg19,50.6
sg19,51.0
sg19,51.2
sg20,49.4
sg20,49.8
sg20,50.1
sg20,50.5
sg20,50.7
