subgroup,value
sg01,49.3
sg01,49.7
sg01,50.0
sg01,50.4
sg01,50.6
sg02,49.2
sg02,49.6
sg02,49.9
sg02,50.3
sg02,50.5
sg03,49.1
sg03,49.5
sg03,49.8
sg03,50.2
sg03,50.4
sg04,49.7
sg04,50.1
sg04,50.4
sg04,50.8
sg04,51.0
sg05,49.1
sg05,49.5
sg05,49.8
sg05,50.2
sg05,50.4
sg06,49.8
sg06,50.2
sg06,50.5
sg06,50.9
sg06,51.1
sg07,49.3
sg07,49.7
sg07,50.0
sg07,50.4
sg07,50.6
sg08,49.2
sg08,49.6
sg08,49.9
sg08,50.3
sg08,50.5
sg09,50.1
sg09,50.5
sg09,50.8
sg09,51.2
sg09,51.4
sg10,49.5
sg10,49.9
sg10,50.2
sg10,50.6
sg10,50.8
