subgroup,value
sg01,99.57
sg01,100.34
sg01,99.82
sg01,100.61
sg01,100.08
sg01,99.74
sg01,100.42
sg01,100.06
sg02,99.27
sg02,100.04
sg02,99.68
sg02,100.31
sg02,99.51
sg02,99.87
sg02,100.19
sg02,99.69
sg03,99.91
sg03,100.47
sg03,100.12
sg03,100.58
sg03,99.98
sg03,100.33
sg03,100.21
sg03,100.04
sg04,99.68
sg04,100.37
sg04,100.14
sg04,99.82
sg04,100.29
sg04,99.76
sg04,100.05
sg04,99.93
sg05,99.28
sg05,100.03
sg05,99.57
sg05,99.94
sg05,99.41
sg05,99.87
sg05,100.18
sg05,99.68
sg06,99.54
sg06,100.73
sg06,100.28
sg06,99.87
sg06,100.41
sg06,99.71
sg06,100.62
sg06,100.12
sg07,99.72
sg07,100.28
sg07,99.89
sg07,100.41
sg07,100.07
sg07,99.81
sg07,100.16
sg07,99.90
sg08,98.97
sg08,100.04
sg08,99.34
sg08,99.78
sg08,99.18
sg08,99.61
sg08,100.02
sg08,99.22
sg09,99.82
sg09,100.54
sg09,100.11
sg09,100.38
sg09,99.96
sg09,100.27
sg09,99.73
sg09,100.07
sg10,99.31
sg10,100.62
sg10,99.78
sg10,100.34
sg10,99.58
sg10,100.17
sg10,99.85
sg10,100.07
sg11,100.18
sg11,100.87
sg11,100.34
sg11,100.71
sg11,100.43
sg11,100.62
sg11,100.29
sg11,100.72
sg12,99.54
sg12,100.18
sg12,99.73
sg12,100.09
sg12,99.81
sg12,99.97
sg12,100.03
sg12,99.73
sg13,99.64
sg13,100.48
sg13,100.23
sg13,99.88
sg13,100.37
sg13,99.79
sg13,100.31
sg13,100.26
sg14,99.34
sg14,100.17
sg14,99.52
sg14,100.01
sg14,99.68
sg14,99.84
sg14,100.14
sg14,99.58
sg15,99.84
sg15,100.31
sg15,100.07
sg15,99.92
sg15,100.18
sg15,99.96
sg15,100.24
sg15,99.96
sg16,99.91
sg16,100.67
sg16,100.14
sg16,100.49
sg16,99.98
sg16,100.38
sg16,100.27
sg16,100.40
sg17,99.57
sg17,100.24
sg17,99.78
sg17,100.13
sg17,99.63
sg17,100.06
sg17,99.84
sg17,100.03
sg18,99.48
sg18,100.78
sg18,100.07
sg18,99.82
sg18,100.54
sg18,99.91
sg18,100.33
sg18,100.27
sg19,99.63
sg19,100.29
sg19,99.81
sg19,100.17
sg19,99.74
sg19,100.09
sg19,99.96
sg19,100.07
sg20,99.71
sg20,100.43
sg20,100.08
sg20,99.84
sg20,100.26
sg20,99.92
sg20,100.34
sg20,99.98
